	N	S	N_sporeN	S_sporeN	N_sporeY	S_sporeY
10346.AW10.8.I	39386.0	1344	4.0	2	1.0	1
10346.SW.H2O.5	50507.0	1438	0.0	0	1.0	1
10346.AW10.3.I	44971.0	1425	2.0	1	4.0	1
10346.SI06.97	86374.0	692	851.0	8	14.0	2
10346.40	46833.0	1155	2.0	1	1.0	1
10346.IF2.23	47488.0	443	2.0	2	0.0	0
10346.TO11.4.7	53816.0	731	3.0	1	0.0	0
10346.AW10.11.I	34448.0	1585	5.0	3	1.0	1
10346.AW10.3.III	39158.0	1257	7.0	3	1.0	1
10346.SS.30.2	60104.0	484	1.0	1	0.0	0
10346.AW11.8.III	46453.0	1751	5.0	5	3.0	1
10346.AW10.5.II	46079.0	1406	20.0	6	0.0	0
10346.AW10.11.II	39450.0	1658	2.0	2	0.0	0
10346.IO2.WI	44058.0	1861	1.0	1	0.0	0
10346.Webster.3.H4.276	45879.0	736	1.0	1	0.0	0
10346.Webster.2.E1.142	48500.0	506	1.0	1	0.0	0
10346.Webster.1.H11.Negative.control	57019.0	526	1.0	1	1.0	1
10346.Webster.4.F10.352	35369.0	485	5.0	2	0.0	0
10346.Webster.5.E6.430	96622.0	1678	4.0	2	0.0	0
10346.Webster.4.A12.294	101498.0	623	1.0	1	0.0	0
10346.Webster.3.F1.249	62300.0	858	1.0	1	0.0	0
10346.Webster.3.C3.215	53169.0	564	1.0	1	0.0	0
10346.Webster.4.F2.344	61658.0	408	1.0	1	0.0	0
10346.Webster.2.C7.124	124164.0	671	3.0	1	0.0	0
10346.Webster.2.D5.134	83292.0	426	2.0	1	1.0	1
10346.Webster.2.D7.136	159415.0	512	1.0	1	0.0	0
10346.Webster.4.H11.No.sample	41026.0	424	1.0	1	0.0	0
10346.AW11.8.I	50664.0	1637	2.0	2	0.0	0
10346.SWBH.2	50796.0	1933	20.0	6	0.0	0
10346.SW.30	18677.0	575	160.0	3	208.0	4
10346.TO10.6.7	40655.0	439	128.0	6	0.0	0
10346.SI06x69	23414.0	370	74.0	2	0.0	0
10346.AF10.4.7	78087.0	530	2.0	1	0.0	0
10346.HBOI12.9.VIII.09.2.001	1703.0	443	0.0	0	1.0	1
10346.IO2.WIII	56968.0	2155	2.0	1	1.0	1
10346.6.VIII.05.1.009	21611.0	405	22.0	1	0.0	0
10346.AW11.3.II	8534.0	574	1.0	1	0.0	0
10346.SW.H2O.4	46128.0	1301	0.0	0	1.0	1
10346.SW.05	37560.0	750	1.0	1	0.0	0
10346.AW11.2.III	38570.0	1537	3.0	3	0.0	0
10346.AW10.9.II	40307.0	1152	4.0	2	0.0	0
10346.TW10.12.III	22216.0	1949	49.0	4	3.0	1
10346.TW10.9.I	41686.0	1247	1.0	1	0.0	0
10346.AW10.12.III	25528.0	1589	186.0	6	0.0	0
10346.12.V.00.3.004	29851.0	402	39.0	2	0.0	0
10346.21.X.03.3.002	32485.0	642	0.0	0	3.0	2
10346.TW11.1.II	26011.0	1644	3.0	2	0.0	0
10346.TW10.8.I	15954.0	1056	8.0	4	0.0	0
10346.SI06.152	22980.0	385	933.0	14	10.0	1
10346.SW.06	35155.0	502	4.0	1	0.0	0
10346.SS.1.3	24284.0	319	19.0	2	0.0	0
10346.AF10.9.7	69137.0	347	2.0	1	0.0	0
10346.AF10.8.7	56149.0	492	1.0	1	0.0	0
10346.SS.29.3	48239.0	343	1.0	1	0.0	0
10346.AF11.3.7	45489.0	445	167.0	5	0.0	0
10346.SS.29.2	40452.0	352	1.0	1	0.0	0
10346.Webster.4.D11.329	35088.0	488	1.0	1	0.0	0
10346.Webster.2.G1.166	109462.0	495	13.0	1	0.0	0
10346.Webster.4.G1.355	23207.0	255	6.0	1	0.0	0
10346.Webster.4.C12.318	59029.0	531	0.0	0	59.0	2
10346.Webster.2.A6.100	45167.0	345	44.0	1	0.0	0
10346.Webster.2.D11.140	55495.0	329	1.0	1	0.0	0
10346.Webster.2.H1.178	50375.0	370	10.0	1	0.0	0
10346.Webster.2.E12.153	59437.0	352	0.0	0	1.0	1
10346.Webster.3.D6.230	65529.0	827	1.0	1	0.0	0
10346.Webster.2.G9.174	89673.0	408	1.0	1	0.0	0
10346.Webster.2.F8.161	28426.0	317	1.0	1	0.0	0
10346.Webster.2.F1.154	114835.0	446	8.0	1	0.0	0
10346.Webster.2.E10.151	61242.0	372	1.0	1	1.0	1
10346.Webster.2.E8.149	62352.0	336	1.0	1	0.0	0
10346.Webster.2.F3.156	54498.0	307	1.0	1	0.0	0
10346.AW11.2.II	59717.0	1820	2.0	2	0.0	0
10346.SW.310	42427.0	589	2.0	2	0.0	0
10346.75	37231.0	312	2.0	1	0.0	0
10346.TW11.7.I	45580.0	964	5.0	4	0.0	0
10346.Webster.1.A7.7	63663.0	362	1.0	1	0.0	0
10346.Webster.1.B6.18	54989.0	231	5.0	1	0.0	0
10346.Webster.1.C5.29	44833.0	314	5.0	1	0.0	0
10346.Webster.1.C10.34	7833.0	208	3.0	1	0.0	0
10346.ML3.water.gDNA	41442.0	598	1.0	1	0.0	0
10346.Webster.3.A12.200	2293.0	111	5.0	1	0.0	0
10346.Webster.3.G6.266	37267.0	237	2.0	1	0.0	0
10346.Webster.3.G9.269	70186.0	503	1.0	1	0.0	0
10346.Webster.3.E6.242	41229.0	438	1.0	1	0.0	0
10346.Webster.4.F1.343	46980.0	356	32.0	2	0.0	0
10346.Webster.4.D9.327	59311.0	578	61.0	3	0.0	0
10346.Webster.1.A5.5	22077.0	191	1.0	1	2.0	1
10346.CL242	12440.0	388	6.0	1	0.0	0
10346.52	3037.0	98	43.0	2	0.0	0
10346.Webster.2.E9.150	60248.0	342	2.0	1	0.0	0
10346.Webster.4.E1.331	10413.0	246	3.0	1	0.0	0
10346.Webster.3.G7.267	41540.0	408	31.0	2	0.0	0
10346.Webster.3.H12.Negative.control	25177.0	230	56.0	4	0.0	0
10346.Webster.4.G6.360	29.0	23	1.0	1	0.0	0
10346.Webster.1.D3.39	72323.0	253	1.0	1	0.0	0
10346.Webster.2.A10.104	137.0	12	1.0	1	0.0	0
10346.Webster.2.B11.117	4.0	4	1.0	1	0.0	0
10346.Webster.2.H10.187	21.0	10	1.0	1	0.0	0
10346.Webster.1.G6.78	7.0	4	1.0	1	0.0	0
10346.ML1.water.gDNA	2.0	2	1.0	1	0.0	0
10156.48	99791.0	4099	15.0	3	53.0	7
