	N	S	N_sporeN	S_sporeN	N_sporeY	S_sporeY	temp
10180.K3II	27970.0	1701	237.0	2	1.0	1	29.0
10180.K3IV	61163.0	1852	115.0	4	23.0	2	29.0
10180.K5I	88520.0	4478	578.0	3	91.0	6	25.0
10180.K5III	95049.0	4897	654.0	3	125.0	18	25.0
10180.K6III	110337.0	3700	56.0	3	83.0	7	26.0
10180.K6IV	42632.0	3971	32.0	6	44.0	10	26.0
10180.L12I	78350.0	2792	51.0	3	31.0	3	29.0
10180.L12II	2735.0	122	8.0	1	0.0	0	29.0
10180.L3I	200377.0	4906	566.0	4	81.0	5	25.0
10180.L3II	147342.0	4001	519.0	4	135.0	4	25.0
10180.L5I	157725.0	4384	54.0	7	39.0	7	28.0
10180.L5II	153261.0	4307	80.0	2	18.0	7	28.0
10180.L6I	98202.0	4945	117.0	6	48.0	8	25.0
10180.L6II	10.0	10	2.0	2	0.0	0	25.0
10245.100.Drnum10.day65.Bag10	31222.0	117	7588.0	10	0.0	0	25.7
10245.100.Drnum10.day65.Bag10	11671.0	64	2696.0	9	0.0	0	25.7
10245.101.Drnum11.day79.Bag1	42492.0	410	777.0	6	138.0	1	29.2
10245.101.Drnum11.day79.Bag1	14566.0	313	245.0	4	50.0	1	29.2
10245.102.Drnum11.day79.Bag2	34782.0	495	4617.0	15	19.0	2	29.4
10245.102.Drnum11.day79.Bag2	10630.0	346	1441.0	8	6.0	1	29.4
10245.103.Drnum11.day79.Bag3	22304.0	161	1111.0	5	0.0	0	29.1
10245.103.Drnum11.day79.Bag3	6504.0	108	310.0	2	0.0	0	29.1
10245.104.Drnum11.day79.Bag4	34366.0	260	6192.0	11	0.0	0	28.3
10245.104.Drnum11.day79.Bag4	11760.0	186	2140.0	8	0.0	0	28.3
10245.105.Drnum11.day79.Bag5	22555.0	131	5484.0	9	0.0	0	28.5
10245.105.Drnum11.day79.Bag5	7508.0	109	1782.0	8	0.0	0	28.5
10245.106.Drnum11.day79.Bag6	30407.0	173	24496.0	14	0.0	0	28.3
10245.106.Drnum11.day79.Bag6	10943.0	120	8606.0	10	0.0	0	28.3
10245.11.Drnum2.day5.Bag1	324.0	54	8.0	1	0.0	0	30.7
10245.11.Drnum2.day5.Bag1	121.0	24	1.0	1	0.0	0	30.7
10245.111.Drnum12.day113.Bag1	27424.0	173	400.0	3	0.0	0	28.5
10245.111.Drnum12.day113.Bag1	7963.0	121	100.0	3	0.0	0	28.5
10245.112.Drnum12.day113.Bag2	39814.0	1836	3075.0	20	126.0	3	28.8
10245.112.Drnum12.day113.Bag2	13228.0	1134	1048.0	10	65.0	3	28.8
10245.113.Drnum12.day113.Bag3	27434.0	212	1646.0	6	0.0	0	28.1
10245.113.Drnum12.day113.Bag3	8553.0	145	596.0	5	0.0	0	28.1
10245.114.Drnum12.day113.Bag4	22908.0	220	684.0	7	0.0	0	28.8
10245.114.Drnum12.day113.Bag4	7269.0	118	226.0	3	0.0	0	28.8
10245.115.Drnum12.day113.Bag5	39436.0	484	4698.0	14	67.0	2	30.1
10245.115.Drnum12.day113.Bag5	11685.0	350	1394.0	10	24.0	1	30.1
10245.116.Drnum12.day113.Bag6	26904.0	199	60.0	3	1.0	1	31.9
10245.116.Drnum12.day113.Bag6	8596.0	126	21.0	1	0.0	0	31.9
10245.117.Drnum12.day113.Bag7	38686.0	1808	2944.0	16	34.0	2	28.8
10245.117.Drnum12.day113.Bag7	11692.0	1094	914.0	13	12.0	2	28.8
10245.118.Drnum12.day113.Bag8	29736.0	190	5683.0	9	0.0	0	28.8
10245.118.Drnum12.day113.Bag8	9549.0	120	1822.0	10	0.0	0	28.8
10245.119.Drnum12.day113.Bag9	21125.0	92	87.0	1	356.0	1	28.4
10245.119.Drnum12.day113.Bag9	6322.0	63	23.0	1	97.0	1	28.4
10245.12.Drnum2.day5.Bag2	423.0	50	98.0	1	0.0	0	30.7
10245.12.Drnum2.day5.Bag2	124.0	30	27.0	1	0.0	0	30.7
10245.120.Drnum12.day113.Bag10	42763.0	290	1386.0	5	0.0	0	28.6
10245.120.Drnum12.day113.Bag10	14656.0	216	542.0	4	0.0	0	28.6
10245.14.Drnum2.day5.Bag4	510.0	67	120.0	1	0.0	0	30.9
